name,acc_1_shot,acc_5_shot
ACSF1,0.4250,0.6000
Adiac,0.4140,0.5287
ArrowHead,0.6047,0.6744
Beef,0.2500,0.5000
BeetleFly,0.5000,0.8750
BirdChicken,0.7500,0.8750
BME,0.4167,1.0000
Car,0.4167,0.4167
CBF,0.8280,0.9731
Chinatown,0.9452,0.9178
ChlorineConcentration,0.4258,0.3248
CinCECGTorso,0.4155,0.6127
Coffee,0.9167,1.0000
Computers,0.6300,0.5700
CricketX,0.3782,0.5449
CricketY,0.4295,0.5897
CricketZ,0.3526,0.6410
Crop,0.2985,0.4506
DiatomSizeReduction,0.8154,0.9846
DistalPhalanxOutlineAgeGroup,0.7870,0.6481
DistalPhalanxOutlineCorrect,0.5739,0.5341
DistalPhalanxTW,0.4537,0.6111
Earthquakes,0.4839,0.5806
ECG200,0.6750,0.8500
ECG5000,0.4690,0.6060
ECGFiveDays,0.6497,0.7797
ElectricDevices,0.3861,0.5436
EOGHorizontalSignal,0.3586,0.4138
EOGVerticalSignal,0.2138,0.3034
EthanolLevel,0.2239,0.2687
FaceAll,0.6400,0.8889
FaceFour,0.7391,0.9565
FacesUCR,0.6044,0.8289
FiftyWords,0.5967,0.7348
Fish,0.4429,0.6000
FordA,0.4944,0.5442
FordB,0.5461,0.6146
FreezerRegularTrain,0.6967,0.6967
FreezerSmallTrain,0.7326,0.7674
Fungi,0.9756,1.0000
GunPoint,0.4750,0.6500
GunPointAgeSpan,0.6703,0.9560
GunPointMaleVersusFemale,0.7363,0.7363
GunPointOldVersusYoung,0.7253,0.9890
Ham,0.6744,0.6512
HandOutlines,0.3212,0.5584
Haptics,0.3118,0.3011
Herring,0.8846,0.8077
HouseTwenty,0.8125,0.9688
InlineSkate,0.1538,0.3769
InsectEPGRegularTrain,1.0000,1.0000
InsectEPGSmallTrain,1.0000,1.0000
InsectWingbeatSound,0.3386,0.4386
ItalyPowerDemand,0.8682,0.8682
LargeKitchenAppliances,0.3267,0.5667
Lightning2,0.6000,0.7600
Lightning7,0.3793,0.7931
Mallat,0.9292,0.9438
Meat,0.7083,0.7917
MedicalImages,0.2926,0.4410
MiddlePhalanxOutlineAgeGroup,0.2252,0.5946
MiddlePhalanxOutlineCorrect,0.4693,0.6872
MiddlePhalanxTW,0.2793,0.3423
MixedShapesRegularTrain,0.6103,0.7915
MixedShapesSmallTrain,0.6970,0.7881
MoteStrain,0.8392,0.8745
NonInvasiveFetalECGThorax1,0.4781,0.6667
NonInvasiveFetalECGThorax2,0.5378,0.7570
OliveOil,0.9167,0.9167
OSULeaf,0.3933,0.6292
PhalangesOutlinesCorrect,0.5188,0.4737
Phoneme,0.0877,0.1848
PigAirwayPressure,0.1587,0.2063
PigArtPressure,0.3810,0.6508
PigCVP,0.2222,0.3810
Plane,0.9762,1.0000
PowerCons,0.7361,0.8472
ProximalPhalanxOutlineAgeGroup,0.8347,0.8512
ProximalPhalanxOutlineCorrect,0.6313,0.7263
ProximalPhalanxTW,0.6777,0.4793
RefrigerationDevices,0.4800,0.4200
Rock,0.2857,0.8571
ScreenType,0.3600,0.3667
SemgHandGenderCh2,0.5833,0.6111
SemgHandMovementCh2,0.2944,0.4833
SemgHandSubjectCh2,0.3056,0.3889
ShapeletSim,0.6250,0.6500
ShapesAll,0.6042,0.7625
SmallKitchenAppliances,0.5267,0.5667
SmoothSubspace,0.8500,0.9500
SonyAIBORobotSurface1,0.5360,0.8320
SonyAIBORobotSurface2,0.7347,0.7653
StarLightCurves,0.6845,0.5590
Strawberry,0.3959,0.6294
SwedishLeaf,0.4489,0.6533
Symbols,0.9020,0.9510
SyntheticControl,0.8333,0.9500
ToeSegmentation1,0.5000,0.6296
ToeSegmentation2,0.6765,0.8529
Trace,0.7500,0.9000
TwoLeadECG,0.8798,0.8670
TwoPatterns,0.4650,0.6560
UMD,0.5278,0.5556
UWaveGestureLibraryAll,0.5837,0.7924
UWaveGestureLibraryX,0.5391,0.6350
UWaveGestureLibraryY,0.4085,0.5346
UWaveGestureLibraryZ,0.3259,0.5513
Wafer,0.3615,0.8548
Wine,0.8696,0.8261
WordSynonyms,0.2873,0.6851
Worms,0.2885,0.3846
WormsTwoClass,0.5192,0.5385
Yoga,0.4697,0.5879
