name,acc_100,acc_300,acc_500
Haptics,0.2796,0.2473,0.2473
Computers,0.53,0.55,0.57
DistalPhalanxOutlineAgeGroup,0.7593,0.7407,0.7037
DistalPhalanxTW,0.3148,0.4167,0.3981
MiddlePhalanxTW,0.2703,0.3153,0.3243
MiddlePhalanxOutlineAgeGroup,0.1802,0.2072,0.1892
SyntheticControl,0.6917,0.6833,0.675
ProximalPhalanxOutlineAgeGroup,0.843,0.8347,0.8347
ProximalPhalanxTW,0.7686,0.6694,0.6694
SonyAIBORobotSurface1,0.952,0.912,0.896
InlineSkate,0.2231,0.2462,0.2308
EOGHorizontalSignal,0.2759,0.2897,0.2621
EOGVerticalSignal,0.2,0.1793,0.1586
LargeKitchenAppliances,0.56,0.4267,0.4533
RefrigerationDevices,0.4733,0.4933,0.5267
ScreenType,0.4,0.2933,0.3067
SmallKitchenAppliances,0.3267,0.36,0.3667
CricketX,0.2436,0.3077,0.2885
CricketY,0.3205,0.3077,0.3013
CricketZ,0.2949,0.2821,0.2949
